episode,reward,total_steps
0,24.0,24
1,12.0,36
2,16.0,52
3,30.0,82
4,42.0,124
5,11.0,135
6,10.0,145
7,11.0,156
8,11.0,167
9,18.0,185
10,14.0,199
11,12.0,211
12,11.0,222
13,9.0,231
14,10.0,241
15,11.0,252
16,11.0,263
17,14.0,277
18,15.0,292
19,10.0,302
20,11.0,313
21,9.0,322
22,10.0,332
23,9.0,341
24,18.0,359
25,12.0,371
26,11.0,382
27,11.0,393
28,10.0,403
29,9.0,412
30,11.0,423
31,9.0,432
32,11.0,443
33,11.0,454
34,10.0,464
35,11.0,475
36,12.0,487
37,21.0,508
38,10.0,518
39,8.0,526
40,12.0,538
41,9.0,547
42,12.0,559
43,10.0,569
44,9.0,578
45,16.0,594
46,22.0,616
47,12.0,628
48,27.0,655
49,25.0,680
50,27.0,707
51,18.0,725
52,24.0,749
53,78.0,827
54,23.0,850
55,19.0,869
56,40.0,909
57,109.0,1018
58,103.0,1121
59,188.0,1309
60,165.0,1474
61,158.0,1632
62,142.0,1774
63,106.0,1880
64,93.0,1973
65,194.0,2167
66,153.0,2320
67,139.0,2459
68,189.0,2648
69,115.0,2763
70,167.0,2930
71,125.0,3055
72,156.0,3211
73,259.0,3470
74,212.0,3682
75,142.0,3824
76,119.0,3943
77,243.0,4186
78,164.0,4350
79,151.0,4501
80,213.0,4714
81,164.0,4878
82,171.0,5049
83,169.0,5218
84,154.0,5372
85,152.0,5524
86,174.0,5698
87,155.0,5853
88,158.0,6011
89,233.0,6244
90,210.0,6454
91,205.0,6659
92,143.0,6802
93,185.0,6987
94,160.0,7147
95,173.0,7320
96,154.0,7474
97,144.0,7618
98,140.0,7758
99,169.0,7927
100,163.0,8090
101,153.0,8243
102,147.0,8390
103,137.0,8527
104,173.0,8700
105,157.0,8857
106,147.0,9004
107,139.0,9143
108,167.0,9310
109,135.0,9445
110,152.0,9597
111,145.0,9742
112,150.0,9892
113,171.0,10063
114,163.0,10226
115,151.0,10377
116,172.0,10549
117,144.0,10693
118,147.0,10840
119,177.0,11017
120,141.0,11158
121,141.0,11299
122,129.0,11428
123,145.0,11573
124,180.0,11753
125,134.0,11887
126,149.0,12036
127,160.0,12196
128,128.0,12324
129,141.0,12465
130,131.0,12596
131,163.0,12759
132,126.0,12885
133,127.0,13012
134,138.0,13150
135,142.0,13292
136,154.0,13446
137,161.0,13607
138,136.0,13743
139,146.0,13889
140,183.0,14072
141,435.0,14507
142,145.0,14652
143,133.0,14785
144,122.0,14907
145,158.0,15065
146,158.0,15223
147,140.0,15363
148,128.0,15491
149,133.0,15624
150,129.0,15753
151,132.0,15885
152,109.0,15994
153,119.0,16113
154,120.0,16233
155,121.0,16354
156,118.0,16472
157,121.0,16593
158,129.0,16722
159,115.0,16837
160,120.0,16957
161,115.0,17072
162,124.0,17196
163,124.0,17320
164,129.0,17449
165,118.0,17567
166,115.0,17682
167,112.0,17794
168,144.0,17938
169,118.0,18056
170,112.0,18168
171,127.0,18295
172,107.0,18402
173,124.0,18526
174,108.0,18634
175,114.0,18748
176,111.0,18859
177,122.0,18981
178,114.0,19095
179,120.0,19215
180,113.0,19328
181,135.0,19463
182,109.0,19572
183,128.0,19700
184,128.0,19828
185,126.0,19954
186,114.0,20068
187,122.0,20190
188,126.0,20316
189,121.0,20437
190,128.0,20565
191,128.0,20693
192,133.0,20826
193,126.0,20952
194,133.0,21085
195,116.0,21201
196,150.0,21351
197,128.0,21479
198,121.0,21600
199,137.0,21737
200,129.0,21866
201,116.0,21982
202,123.0,22105
203,118.0,22223
204,120.0,22343
205,122.0,22465
206,126.0,22591
207,122.0,22713
208,124.0,22837
209,126.0,22963
210,136.0,23099
211,135.0,23234
212,143.0,23377
213,122.0,23499
214,123.0,23622
215,143.0,23765
216,122.0,23887
217,122.0,24009
218,120.0,24129
219,131.0,24260
220,134.0,24394
221,146.0,24540
222,122.0,24662
223,129.0,24791
224,118.0,24909
225,130.0,25039
226,122.0,25161
227,126.0,25287
228,131.0,25418
229,112.0,25530
230,124.0,25654
231,114.0,25768
232,139.0,25907
233,122.0,26029
234,116.0,26145
235,112.0,26257
236,111.0,26368
237,123.0,26491
238,125.0,26616
239,123.0,26739
240,138.0,26877
241,145.0,27022
242,132.0,27154
243,116.0,27270
244,125.0,27395
245,126.0,27521
246,130.0,27651
247,119.0,27770
248,117.0,27887
249,121.0,28008
250,129.0,28137
251,144.0,28281
252,122.0,28403
253,124.0,28527
254,117.0,28644
255,124.0,28768
256,137.0,28905
257,129.0,29034
258,131.0,29165
259,125.0,29290
260,132.0,29422
261,154.0,29576
262,127.0,29703
263,124.0,29827
264,132.0,29959
265,143.0,30102
266,142.0,30244
267,144.0,30388
268,150.0,30538
269,105.0,30643
270,125.0,30768
271,149.0,30917
272,123.0,31040
273,133.0,31173
274,143.0,31316
275,133.0,31449
276,132.0,31581
277,126.0,31707
278,120.0,31827
279,130.0,31957
280,133.0,32090
281,112.0,32202
282,137.0,32339
283,125.0,32464
284,141.0,32605
285,130.0,32735
286,119.0,32854
287,125.0,32979
288,145.0,33124
289,127.0,33251
290,126.0,33377
291,149.0,33526
292,145.0,33671
293,137.0,33808
294,158.0,33966
295,148.0,34114
296,162.0,34276
297,169.0,34445
298,161.0,34606
299,129.0,34735
300,134.0,34869
301,142.0,35011
302,163.0,35174
303,130.0,35304
304,141.0,35445
305,167.0,35612
306,151.0,35763
307,164.0,35927
308,150.0,36077
309,155.0,36232
310,141.0,36373
311,127.0,36500
312,134.0,36634
313,126.0,36760
314,126.0,36886
315,124.0,37010
316,144.0,37154
317,126.0,37280
318,128.0,37408
319,139.0,37547
320,127.0,37674
321,136.0,37810
322,120.0,37930
323,131.0,38061
324,132.0,38193
325,120.0,38313
326,111.0,38424
327,126.0,38550
328,138.0,38688
329,122.0,38810
330,110.0,38920
331,106.0,39026
332,113.0,39139
333,119.0,39258
334,127.0,39385
335,121.0,39506
336,123.0,39629
337,128.0,39757
338,119.0,39876
339,119.0,39995
340,121.0,40116
341,12.0,40128
342,116.0,40244
343,124.0,40368
344,120.0,40488
345,92.0,40580
346,77.0,40657
347,145.0,40802
348,136.0,40938
349,88.0,41026
350,97.0,41123
351,49.0,41172
352,336.0,41508
353,140.0,41648
354,50.0,41698
355,28.0,41726
356,71.0,41797
357,26.0,41823
358,30.0,41853
359,24.0,41877
360,18.0,41895
361,26.0,41921
362,21.0,41942
363,35.0,41977
364,29.0,42006
365,9.0,42015
366,47.0,42062
367,12.0,42074
368,26.0,42100
369,9.0,42109
370,9.0,42118
371,24.0,42142
372,30.0,42172
373,18.0,42190
374,175.0,42365
375,174.0,42539
