epoch,train_loss,val_loss,val_state_mse,val_reward_mse
1,0.016809515894219813,0.00028835757984779775,0.0002230541140306741,0.0006530347163788974
2,0.0001788349689341285,0.00010998095967806876,8.221722237067297e-05,0.00027763735852204263
3,9.364037773348971e-05,6.545852374983951e-05,5.00344431202393e-05,0.0001542407990200445
4,6.495040487949855e-05,5.2073832193855196e-05,3.934110645786859e-05,0.0001273272355319932
5,4.841180219357535e-05,3.821464633801952e-05,2.901653897424694e-05,9.198109182761982e-05
6,4.286450881259674e-05,4.264647213858552e-05,3.5205121093895286e-05,7.441349589498714e-05
7,3.644948640641052e-05,4.099748548469506e-05,3.426694456720725e-05,6.730540189892054e-05
8,3.0836668440995596e-05,3.370066042407416e-05,2.6777777748066e-05,6.922882312210277e-05
9,2.9247776641795366e-05,2.6961364710587077e-05,2.17924371099798e-05,5.168927964405157e-05
10,2.685475118836126e-05,2.4749071599217132e-05,2.0191540897940286e-05,4.557530701276846e-05
11,2.541525534119341e-05,3.021089287358336e-05,2.4816181394271553e-05,5.3947122069075704e-05
12,2.7098887332958477e-05,3.534465213306248e-05,2.9989669201313518e-05,5.3549832955468446e-05
13,2.3881610179299036e-05,2.45382670982508e-05,2.0141620552749373e-05,4.3966458179056644e-05
14,2.3947489582610292e-05,2.0607109036063775e-05,1.7906102584674954e-05,2.7010066332877614e-05
15,4.774598660887082e-05,2.066645902232267e-05,1.7567637769388966e-05,3.098821616731584e-05
16,2.8489002814564575e-05,3.0630628316430375e-05,2.688136555661913e-05,3.749262396013364e-05
17,1.811033441219644e-05,2.265793227707036e-05,1.994373269553762e-05,2.714199035835918e-05
18,1.7206714937985127e-05,2.7054014935856685e-05,2.4502287487848662e-05,2.5517279937048443e-05
19,1.9403113611735054e-05,2.2765218091080897e-05,1.8189102775068022e-05,4.576115316012874e-05
20,1.9000359243982426e-05,4.086814078618772e-05,3.881592056131922e-05,2.052219133474864e-05
