episode,reward,total_steps
0,19.0,19
1,14.0,33
2,17.0,50
3,24.0,74
4,10.0,84
5,11.0,95
6,12.0,107
7,12.0,119
8,13.0,132
9,9.0,141
10,19.0,160
11,11.0,171
12,9.0,180
13,10.0,190
14,14.0,204
15,12.0,216
16,16.0,232
17,20.0,252
18,10.0,262
19,12.0,274
20,20.0,294
21,12.0,306
22,23.0,329
23,15.0,344
24,17.0,361
25,8.0,369
26,10.0,379
27,10.0,389
28,10.0,399
29,10.0,409
30,10.0,419
31,12.0,431
32,9.0,440
33,10.0,450
34,11.0,461
35,23.0,484
36,12.0,496
37,11.0,507
38,9.0,516
39,10.0,526
40,20.0,546
41,13.0,559
42,14.0,573
43,115.0,688
44,30.0,718
45,91.0,809
46,27.0,836
47,58.0,894
48,78.0,972
49,151.0,1123
50,73.0,1196
51,83.0,1279
52,197.0,1476
53,236.0,1712
54,114.0,1826
55,222.0,2048
56,268.0,2316
57,153.0,2469
58,250.0,2719
59,222.0,2941
60,411.0,3352
61,207.0,3559
62,116.0,3675
63,263.0,3938
64,415.0,4353
65,264.0,4617
66,207.0,4824
67,303.0,5127
68,283.0,5410
69,233.0,5643
70,256.0,5899
71,241.0,6140
72,256.0,6396
73,304.0,6700
74,249.0,6949
75,229.0,7178
76,266.0,7444
77,241.0,7685
78,268.0,7953
79,340.0,8293
80,500.0,8793
81,287.0,9080
82,234.0,9314
83,467.0,9781
84,245.0,10026
85,414.0,10440
86,373.0,10813
87,272.0,11085
88,250.0,11335
89,224.0,11559
90,248.0,11807
91,206.0,12013
92,232.0,12245
93,212.0,12457
94,230.0,12687
95,233.0,12920
96,242.0,13162
97,257.0,13419
98,234.0,13653
99,201.0,13854
100,206.0,14060
101,310.0,14370
102,236.0,14606
103,318.0,14924
104,223.0,15147
105,293.0,15440
106,342.0,15782
107,230.0,16012
108,250.0,16262
109,240.0,16502
110,500.0,17002
111,355.0,17357
112,257.0,17614
113,308.0,17922
114,241.0,18163
115,221.0,18384
116,231.0,18615
117,210.0,18825
118,233.0,19058
119,254.0,19312
120,254.0,19566
121,279.0,19845
122,263.0,20108
123,272.0,20380
124,292.0,20672
125,251.0,20923
126,275.0,21198
127,256.0,21454
128,283.0,21737
129,241.0,21978
130,271.0,22249
131,244.0,22493
132,268.0,22761
133,244.0,23005
134,266.0,23271
135,224.0,23495
136,280.0,23775
137,283.0,24058
138,284.0,24342
139,268.0,24610
140,500.0,25110
141,500.0,25610
142,192.0,25802
143,235.0,26037
144,79.0,26116
145,254.0,26370
146,299.0,26669
147,243.0,26912
148,281.0,27193
149,235.0,27428
150,249.0,27677
151,308.0,27985
152,332.0,28317
153,454.0,28771
154,500.0,29271
155,500.0,29771
156,493.0,30264
157,448.0,30712
158,500.0,31212
159,446.0,31658
160,372.0,32030
161,62.0,32092
162,500.0,32592
163,500.0,33092
164,500.0,33592
165,500.0,34092
166,451.0,34543
167,401.0,34944
168,460.0,35404
169,461.0,35865
170,500.0,36365
171,422.0,36787
172,500.0,37287
173,500.0,37787
174,499.0,38286
175,500.0,38786
176,500.0,39286
177,500.0,39786
178,500.0,40286
179,500.0,40786
180,500.0,41286
181,365.0,41651
182,336.0,41987
183,241.0,42228
184,193.0,42421
185,177.0,42598
186,181.0,42779
187,198.0,42977
188,210.0,43187
189,180.0,43367
190,172.0,43539
191,239.0,43778
192,243.0,44021
193,216.0,44237
194,237.0,44474
195,287.0,44761
196,241.0,45002
197,230.0,45232
198,65.0,45297
199,53.0,45350
200,30.0,45380
201,61.0,45441
202,25.0,45466
203,25.0,45491
204,29.0,45520
205,26.0,45546
206,29.0,45575
207,12.0,45587
208,10.0,45597
209,18.0,45615
210,44.0,45659
211,35.0,45694
212,20.0,45714
213,24.0,45738
214,37.0,45775
215,30.0,45805
216,31.0,45836
217,36.0,45872
218,41.0,45913
219,188.0,46101
220,213.0,46314
221,222.0,46536
222,226.0,46762
223,230.0,46992
224,258.0,47250
225,266.0,47516
226,253.0,47769
227,236.0,48005
228,235.0,48240
229,238.0,48478
230,208.0,48686
231,297.0,48983
232,290.0,49273
233,285.0,49558
234,266.0,49824
235,332.0,50156
236,297.0,50453
237,275.0,50728
238,276.0,51004
239,310.0,51314
240,289.0,51603
241,294.0,51897
242,272.0,52169
243,288.0,52457
244,289.0,52746
245,286.0,53032
246,278.0,53310
247,288.0,53598
248,355.0,53953
249,328.0,54281
250,300.0,54581
251,375.0,54956
252,310.0,55266
253,375.0,55641
254,313.0,55954
255,404.0,56358
256,372.0,56730
257,335.0,57065
258,219.0,57284
259,308.0,57592
260,274.0,57866
261,291.0,58157
262,353.0,58510
263,321.0,58831
264,318.0,59149
265,331.0,59480
266,232.0,59712
267,396.0,60108
268,337.0,60445
269,412.0,60857
270,387.0,61244
271,403.0,61647
272,418.0,62065
273,500.0,62565
274,336.0,62901
275,385.0,63286
276,289.0,63575
277,259.0,63834
278,378.0,64212
