epoch,train_loss,val_loss,val_state_mse,val_reward_mse
1,0.01889754588583767,0.00048384195542894304,0.00028828642098233104,0.001955555286258459
2,0.0002632302706048316,0.00015252051525749266,0.00011752381396945566,0.0003499669546727091
3,0.00012179367588971664,9.526837675366551e-05,7.371926039922982e-05,0.00021549119264818728
4,8.20471490888826e-05,7.478251791326329e-05,5.8444435126148164e-05,0.00016338081331923604
5,6.209571776169416e-05,5.888914893148467e-05,4.750638618133962e-05,0.00011382761294953525
6,5.4810228270044826e-05,5.626987331197597e-05,4.361014362075366e-05,0.0001265972969122231
7,4.369284679374779e-05,3.924921475118026e-05,3.1057748856255785e-05,8.191466622520238e-05
8,3.9126516768661755e-05,4.1116854845313355e-05,3.317834853078239e-05,7.93850704212673e-05
9,3.7132786577529635e-05,3.725892383954488e-05,3.0489012715406716e-05,6.769912579329684e-05
10,3.197388177139126e-05,3.4511922422097996e-05,2.920466249634046e-05,5.307259925757535e-05
11,4.2340197445554086e-05,3.0741695809410885e-05,2.5724579245434143e-05,5.0171162001788616e-05
12,3.592757858717999e-05,2.4478471459588036e-05,2.0254545233910903e-05,4.223926589475013e-05
13,3.155992277958834e-05,3.970323450630531e-05,3.459181243670173e-05,5.111423888592981e-05
14,2.6247444350534247e-05,2.32748752750922e-05,1.9376408090465702e-05,3.898466093232855e-05
15,2.3166625009259606e-05,2.796144144667778e-05,2.369567664572969e-05,4.2657651647459716e-05
16,2.7529073890732746e-05,2.1783180272905156e-05,1.762574174790643e-05,4.1574385249987245e-05
17,2.689849817652561e-05,7.692119834246114e-05,7.115586049621925e-05,5.7653403928270563e-05
18,2.6656597200655024e-05,2.5654735509306192e-05,2.2676824301015586e-05,2.9779104806948453e-05
19,2.0053450289558088e-05,3.2101801480166614e-05,2.928427784354426e-05,2.817522909026593e-05
20,1.9901299685693055e-05,1.4672611541755032e-05,1.2220006283314433e-05,2.452605258440599e-05
